-1867971589,0,1895,5429000,0
-1867971589,8595,0,6330000,0
-1867971589,0,0,7231000,0
-1867971589,0,0,8132000,0
-1867971589,0,0,9033000,0
-1867971589,0,0,9933000,0
-1867971589,0,0,10833000,0
80073312,411198,0,11734000,0
80073312,327324,327837,12634000,0
80073312,130669,0,13535000,0
80073312,626223,885,14436000,0
80073312,1119337,0,15337000,0
80073312,1620433,0,16238000,0
80073312,80420,0,17139000,0
80073312,237069,0,18039000,0
80073312,141899,305,18940000,0
80073312,113111,0,19840000,0
80073312,73166,27349,20741000,0
80073312,570039,120460,21641000,0
80073312,1067547,33792,22542000,0
80073312,1566108,74403,23442000,0
80073312,183220,49998,24342000,0
-1867971589,0,0,25242000,0
-1867971589,1287,0,26142000,0
-1867971589,0,0,27043000,0
80073312,2170,0,27943000,0
-1867971589,557,0,28843000,0
-1867971589,0,0,29744000,0
-1867971589,0,0,30645000,0
80073312,362081,82578,31546000,0
80073312,96325,1901,32444000,1
691807282,401815,268919,34242000,0
80073312,1067,0,35142000,0
-1867971589,0,0,36042000,0
-1867971589,156774,139495,36943000,0
-1867971589,23594,6493,37843000,0
80073312,155823,5037,38743000,0
80073312,10059,14645,39644000,0
80073312,37357,5121,40545000,0
-1867971589,0,0,41445000,0
-1867971589,0,0,42346000,0
-1867971589,176,0,43247000,0
-1867971589,80,0,44147000,0
80073312,40338,3836,45045000,0
80073312,482894,22889,45946000,0
-1867971589,0,0,46847000,0
-1867971589,0,0,47748000,0
-1867971589,0,0,48648000,0
80073312,58845,0,49549000,0
-1867971589,0,0,50449000,0
-1867971589,0,0,51349000,0
-1867971589,0,0,52250000,0
-1867971589,0,0,53151000,0
-1867971589,0,0,54052000,0
-1867971589,0,0,54952000,0
-1867971589,324,0,55853000,0
-1867971589,0,0,56754000,0
80073312,353397,20628,57655000,0
80073312,137858,1267,58556000,0
80073312,37927,857,59456000,0
80073312,327585,11670,60356000,0
80073312,362996,0,61257000,0
163415167,226009,0,62154000,0
